"case","school","grade","female","ageyr","mo","agemo","t01_visperc","t02_cubes","t03_frmbord","t04_lozenges","t05_geninfo","t06_paracomp","t07_sentcomp","t08_wordclas","t09_wordmean","t10_addition","t11_code","t12_countdot","t13_sccaps","t14_wordrecg","t15_numbrecg","t16_figrrecg","t17_objnumb","t18_numbfig","t19_figword","t20_deduction","t21_numbpuzz","t22_probreas","t23_series","t24_woody","t25_frmbord2","t26_flags"
1,"Pasteur",7,1,13,1,157,2.8571,7.75,4.8,0.375,3.6364,2.3333,5.75,4.4,1.2857,3.3913,5.2857,5.75,6.3611,5.4545,3.2857,5.7143,1.5,2.25,4,0.1667,3.5,3.7778,0.5556,6,NA,NA
2,"Pasteur",7,2,13,7,163,4.5714,5.25,4.8,2.125,3.0909,1.6667,3,4.4,1.2857,3.7826,6,6.25,7.9167,6.7273,3.1429,6.2857,3,3,2.5,-0.1667,3.25,2.3333,0.1111,3,NA,NA
3,"Pasteur",7,2,13,1,157,3.8571,5.25,4.8,1.875,1.8182,1,1.75,2.4,0.4286,3.2609,3.5,3.9,4.4167,5.4545,3.1429,5.5714,0.25,1.25,1.5,-0.1667,2.25,2,0.7778,5,NA,NA
4,"Pasteur",7,1,13,2,158,4.5714,7.75,6.4,3,3.8182,2.6667,4.5,4.2,2.4286,3,4.6429,5.3,4.8611,6.4545,2.4286,5,1.25,0.75,2.5,-0.1111,2.5,2.4444,0.6667,4.75,NA,NA
5,"Pasteur",7,2,12,2,146,4.1429,4.75,4.8,0.875,3.3636,2.6667,4,5,2.5714,3.6957,4.5,6.3,5.9167,7,5.1429,6.8571,3.75,3.5,3.5,1.6111,3.75,2.1111,0.4444,5,NA,NA
6,"Pasteur",7,2,14,1,169,4.5714,5,4.4,2.25,2.8182,1,3,5,0.8571,4.3478,6.5714,6.65,7.5,4.9091,3,6.8571,1.5,1.5,3.5,0.5,0.5,1.7778,1.1111,5.5,NA,NA
7,"Pasteur",7,1,12,1,145,2.4286,6,4.8,1,3.6364,3.3333,6,6.4,2.8571,4.6957,4.6429,6.2,4.8611,1,1.1429,3.1429,1,0.75,1.25,1,2.5,2.1111,0.3333,3.75,NA,NA
8,"Pasteur",7,2,12,2,146,4.8571,6.25,5.2,1.875,2.6364,3.6667,4.25,5,1.2857,3.3913,5.7143,5.15,3.6667,6.7273,4.5714,7.1429,2.75,3.25,2.25,0.8333,2.25,2.4444,2,6,NA,NA
9,"Pasteur",7,2,13,0,156,3.8571,5.75,4.4,1.5,2.6364,2.6667,5.75,3.8,2.7143,4.5217,3.7143,4.65,7.3611,6.7273,4,7,4.5,1.5,2.75,0.6667,3.75,2,1.8889,4.5,NA,NA
11,"Pasteur",7,2,12,5,149,3,5.25,4,0.75,3,2.6667,5,5,2.5714,4.1304,5.2857,4.55,4.3611,5.9091,4.1429,6.2857,1.25,2,2.75,1.8333,2,2.7778,0.8889,4,NA,NA
12,"Pasteur",7,1,12,2,146,3.1429,5.75,5.2,2,3.4545,2,3.5,4.4,1.5714,3.7391,4.2857,5.7,4.3056,5.7273,3.2857,7.2857,2.25,2.25,3.25,0.5556,2.25,2.1111,0.5556,6,NA,NA
13,"Pasteur",7,1,12,11,155,5,6,6,2.875,3,2.6667,4.5,5.4,2.7143,3.6957,5.0714,5.15,4.1389,5.1818,5.7143,7.4286,1.5,3,3,2.6667,4.5,3.5556,1,6.25,NA,NA
14,"Pasteur",7,2,12,7,151,4.8571,4.5,6,4.125,3,2.6667,4,6.2,2.2857,5.8696,4.8571,5.2,5.8611,5.0909,4.1429,6.7143,2,3,4.5,1.1667,3.25,2.4444,2.3333,6.75,NA,NA
15,"Pasteur",7,2,12,8,152,5.1429,5.5,6.4,1.75,2.9091,4.6667,4,5,1.5714,5.1304,4.8571,4.7,4.4444,6.9091,3.2857,6.5714,1.75,1.5,2.5,0.5,3,2.1111,0.4444,5.75,NA,NA
16,"Pasteur",7,1,12,6,150,5,5.75,5.2,3.625,4.9091,5,5.5,5.4,3,4,4.5714,4.35,5.8611,5.2727,3,6.5714,1.25,1,2,2,3.75,3.7778,3.8889,8,NA,NA
17,"Pasteur",7,2,12,1,145,4,4.75,5.2,2.375,2.4545,2.6667,4.25,3.6,0.7143,4.087,4.2143,3.8,5.1389,6.4545,2.2857,6.1429,0.75,2.5,0.75,1.1667,3.5,2.3333,1.7778,6.25,NA,NA
18,"Pasteur",7,2,14,11,179,3.7143,4.75,7.2,1.5,3.1818,2,4,4.8,1.2857,3.6957,4.1429,6.65,5.25,4.9091,3,6.2857,3.25,3,1.75,0.2778,1.25,1.7778,0.8889,4.5,NA,NA
19,"Pasteur",7,1,13,5,161,4.2857,6.75,6.8,2.25,2.2727,2,2.5,3.4,1.7143,4,4.3571,5.25,5.4444,3.5455,3.5714,6,0.75,0.5,3,1.3889,3.75,1.6667,1.6667,4.75,NA,NA
20,"Pasteur",7,2,12,8,152,4.8571,5.25,5.6,4,5.6364,4.3333,5.25,6.8,3.7143,3.913,6.7143,4.85,5.75,5.5455,1.5714,7.2857,0.75,0.5,3.5,2.6667,5.75,5.2222,4,6.75,NA,NA
21,"Pasteur",7,2,12,3,147,5.4286,8.75,5.2,3,3.7273,3.6667,3.75,4.8,2.5714,3.4783,4.4286,5.35,4.9167,6.9091,5.1429,7,1.25,2.5,3.25,1,4,4.2222,2.8889,5.5,NA,NA
22,"Pasteur",7,1,14,10,178,5,8,6.8,2,2,1.6667,2.5,4,0.5714,2.6087,3.1429,4.6,5.3889,5.3636,4.7143,5.7143,2,1.75,2.5,3,3.75,2.1111,2.5556,4.75,NA,NA
23,"Pasteur",7,1,12,9,153,5.7143,8.5,6.4,4.125,2.1818,2,3.25,3.6,2.1429,4.4783,5.2143,5.45,7,5.3636,4.4286,7,2.25,2.5,3.75,4.8333,4.75,3,3.2222,7,NA,NA
24,"Pasteur",7,1,12,11,155,4.2857,6.25,6.4,1.875,3.3636,3.3333,5.75,5,3.1429,3.4783,4.4286,4.6,5,5.0909,2.8571,6.4286,2,1,3.75,1.5,3.25,2.3333,0.8889,4.75,NA,NA
25,"Pasteur",7,2,12,8,152,3.2857,5.5,6,1.625,3.1818,2.6667,3,4.4,1,5.8261,4.5714,5.3,6.7778,5.7273,4.7143,6.1429,1.5,2.25,2.5,0,3.5,2.2222,0.5556,5.75,NA,NA
26,"Pasteur",7,1,12,3,147,4.8571,5.5,4.8,1.25,4.0909,2.3333,3.75,5.4,1.2857,4.6957,4.2857,4.6,4.1389,4,4.1429,7.1429,2.25,1.25,1.75,1.6667,3.25,2.4444,1.3333,5,NA,NA
27,"Pasteur",7,1,12,7,151,4.5714,4,6.4,3.375,4.1818,1.6667,3.5,5.2,1.4286,5.7391,4.7857,6.25,4.3333,5.9091,5.7143,7.7143,1.5,3,3.75,3.5556,4.25,2.6667,2.3333,7.25,NA,NA
28,"Pasteur",7,1,12,8,152,4.7143,5.25,6.4,4.5,1.6364,2.6667,2.25,4,0.7143,4.1304,4.7857,5.1,4.5278,7.2727,4.8571,7.1429,3,2.5,5,2.6667,3.5,2.6667,2.6667,6.75,NA,NA
29,"Pasteur",7,2,13,2,158,5.1429,5,7.2,2.125,2.4545,1.6667,3,4.4,1.1429,2.8261,4,5.55,4.4167,5.6364,4.8571,6,1.75,3,4.75,1.1667,3.5,1.8889,1.3333,4,NA,NA
30,"Pasteur",7,2,12,5,149,4,6,5.6,4.25,2.8182,2,3,4.2,2,5.1304,6.4286,5.85,8.6111,7.8182,4.4286,6.4286,2.5,3,3.5,0.5556,3.25,2.2222,2,6.75,NA,NA
31,"Pasteur",7,2,12,2,146,4.2857,4.5,5.2,0.75,2.7273,2.6667,3.25,3.6,1.8571,4.6522,4.6429,4.85,5.4444,7.4545,2.8571,7.5714,1.75,1,1.25,-0.1667,2.75,2.2222,1.4444,5,NA,NA
33,"Pasteur",7,2,12,7,151,3,5.75,5.6,1.375,2.6364,2,3.5,4.6,1.8571,4.8261,4.2857,6.95,5.9722,4.8182,3.5714,6.4286,1.25,1.5,1.5,1.1111,4,1.5556,1.3333,6.25,NA,NA
34,"Pasteur",7,1,16,0,192,2.5714,6,6.8,0.25,2.6364,1.6667,3,3.6,1,2.0435,2.2143,3.65,3.3611,4.4545,3,5.1429,0.75,0.75,1,0.0556,0.25,2,1,4.25,NA,NA
35,"Pasteur",7,2,12,2,146,4.2857,5.25,4.8,1.75,4.7273,2.6667,5.25,6.4,2,2.6957,4.5714,4.3,4.8056,5.7273,4.5714,6.4286,0.25,0.5,1.5,1.3889,2.5,2.4444,2.1111,5.75,NA,NA
36,"Pasteur",7,2,12,3,147,3.5714,6,4.8,2.375,4,3.3333,4.25,5,1.8571,5.3913,6.1429,4.35,5.6389,6.5455,4.1429,5.7143,3.5,2.5,3.5,0.6111,3.75,3,2.2222,5.5,NA,NA
38,"Pasteur",7,2,13,3,159,2.8571,3.75,5.2,1.5,2.7273,1.3333,3,3.2,0.8571,2.7826,4.5714,5.2,4.8333,6.4545,3.8571,4.4286,1.75,1.75,2,0.3889,2,0.7778,0.3333,3.25,NA,NA
39,"Pasteur",7,1,13,10,166,4.1429,5.25,5.6,0.5,2.9091,1.6667,4.75,4.6,1.4286,3.1304,3,3.75,4.9167,6,3.4286,4.4286,0.75,1,2.75,1.5,4.25,2.3333,1,4.5,NA,NA
40,"Pasteur",7,1,12,9,153,4.7143,7,6,3.5,3.0909,2.6667,4,5,2,3.8261,4.6429,4,5.3056,5.7273,2.1429,4.7143,3,1.5,4.25,0.6111,4,4.3333,3,5.5,NA,NA
41,"Pasteur",7,2,12,8,152,3.2857,4.5,4.8,2.25,3.1818,3,3,4.8,1.7143,4.087,3.5714,3.5,5.0833,4,4.7143,4.4286,0.75,4.5,2,1.3333,3,1.8889,1.5556,5.5,NA,NA
42,"Pasteur",7,2,12,6,150,5.4286,4,3.6,3.875,4.2727,4,5.25,6.2,3.2857,5.5217,5.9286,5.45,5.1111,5.7273,4.7143,7,3.5,3.5,2.25,0.5,4.5,2.2222,2.6667,6,NA,NA
