Area code, population_density, pct_age_16_64, modelled_unemployment_rate, gdhi_per_head, median_weekly_pay, inward_fdi, active_businesses, business_births   , business_deaths   , high_growth_businesses, cancer_stage1_2   , gigabit_broadband, coverage_4g, coverage_5g, premises_below_30mbps, travel_time_bike  , travel_time_car  , travel_time_pt_walk, Area name
E06000001,              984.0,         61.24,                        7.5,       16203.0,             442.4,           ,            2535.0, 12.22879684418146 , 11.834319526627219,     2.1739130434782608, 50.72464          ,              96.0,       99.99,       99.62,                   1.3, 10.0705816410535  ,  7.79080248898321,   12.9002084422928 , Hartlepool
E06000002,             2638.0,         62.37,                        7.6,       15672.0,             397.6,           ,            3865.0, 15.135834411384216, 12.419146183699871,     3.8461538461538463, 56.13126          ,              94.7,      100.0 ,      100.0 ,                   1.9, 11.3350772823518  ,  8.45781736174403,   15.372878904981  , Middlesbrough
E06000003,              558.0,         59.23,                        5.6,       16436.0,             397.2,           ,            3425.0, 11.094890510948906, 11.386861313868613,     4.545454545454546 , 52.2082           ,              90.2,       99.19,       93.72,                   1.8, 11.103286986633499,  8.06607451869099,   13.259368531347  , Redcar and Cleveland
E06000004,              961.0,         61.77,                        5.7,       17141.0,             453.5,           ,            6085.0, 12.900575184880855, 11.33935907970419 ,     3.7037037037037033, 52.20126          ,              91.8,       99.99,       98.12,                   3.7, 10.050299020191   ,  7.81804856856493,   13.1819883310099 , Stockton-on-Tees
E06000005,              539.0,         61.03,                        6.1,       17636.0,             440.4,           ,            3525.0, 12.624113475177303, 12.340425531914894,     2.564102564102564 , 56.27706          ,              91.0,       99.99,       96.9 ,                   2.6,  9.48832084144916 ,  7.457621381965  ,   11.0236186085639 , Darlington
E06000006,             1624.0,         62.29,                        3.7,       17672.0,             426.4,           ,            3990.0, 13.408521303258144, 11.027568922305765,     3.7735849056603774, 55.13514          ,              94.4,      100.0 ,      100.0 ,                   0.7,  9.67772470239267 ,  7.74859029932323,   10.8941614253659 , Halton
E06000007,             1175.0,         63.0 ,                        3.2,       20327.0,             489.3,           ,           10725.0, 10.256410256410255, 13.613053613053614,     5.291005291005291 , 54.83871          ,              96.0,      100.0 ,       99.99,                   0.6,  9.09734581103229 ,  7.38079625788478,   11.1163206845544 , Warrington
E06000008,             1124.0,         62.5 ,                        5.5,       14267.0,             400.0,           ,            5275.0, 13.364928909952607, 10.04739336492891 ,     3.597122302158273 , 53.76344          ,              91.2,       99.94,       92.02,                   1.4,  8.61950582162059 ,  7.01932167544434,    9.40435682199548, Blackburn with Darwen
E06000009,             4081.0,         61.64,                        5.6,       16109.0,             379.1,           ,            4300.0, 13.372093023255813, 13.372093023255813,     3.296703296703297 , 48.7069           ,              91.4,      100.0 ,      100.0 ,                   0.3,  7.81961220755819 ,  6.63676229201725,    8.37551449330308, Blackpool
E06000010,             3755.0,         65.09,                        6.6,       14244.0,             400.0,           ,            6825.0, 13.626373626373626, 10.183150183150182,     3.827751196172249 , 53.168319999999994,              99.6,      100.0 ,      100.0 ,                   0.0,  9.1820309968421  ,  7.56847175975478,   10.832333306417  , Kingston upon Hull
E06000011,              141.0,         57.9 ,                        3.5,       19949.0,             490.4,           ,           13080.0, 10.129969418960243,  9.288990825688073,     4.119850187265917 , 57.035759999999996,              91.3,       99.9 ,       94.12,                   1.8, 12.7978382188849  ,  8.59147338194784,   16.1716643829097 , East Riding of Yorkshire
E06000012,              820.0,         60.44,                        5.3,       16732.0,             415.2,           ,            5065.0, 11.747285291214215, 10.266535044422508,     4.098360655737705 , 51.25698          ,              93.2,       99.92,       94.49,                   2.2,  8.93974710512565 ,  7.152893321264  ,   10.5129069070475 , North East Lincolnshire
E06000013,              201.0,         60.56,                        4.3,       16724.0,             407.5,           ,            5620.0, 11.654804270462634, 10.142348754448399,     4.132231404958678 , 51.89255          ,              92.7,      100.0 ,       97.81,                   1.8, 14.3091794972215  ,  9.24526556947851,   14.5521636678075 , North Lincolnshire
E06000014,              750.0,         65.69,                        2.8,       20229.0,             469.2,           ,            7565.0, 12.029081295439523,  9.385327164573695,     3.389830508474576 , 51.1254           ,              89.5,      100.0 ,       99.77,                   2.1,  9.40221641830474 ,  7.52249983976986,   10.3906258347754 , York
E06000015,             3371.0,         63.49,                        4.3,       16206.0,             491.2,           ,            8230.0, 13.183475091130012, 11.360874848116646,     3.7037037037037033, 45.42125          ,              97.5,      100.0 ,      100.0 ,                   0.2,  9.27234469289127 ,  7.54372155851315,   10.5636026153042 , Derby
E06000016,             5042.0,         67.01,                        4.8,       13536.0,             394.7,           ,           13750.0, 15.454545454545453, 10.8              ,     3.5502958579881656,                   ,              97.3,      100.0 ,      100.0 ,                   0.3,  8.15278432478681 ,  7.08590154858352,    8.91952383333633, Leicester
E06000017,              105.0,         57.83,                        2.5,       27264.0,             534.5,           ,            1885.0, 10.610079575596817,  8.753315649867375,     2.631578947368421 , 53.37838000000001 ,              76.3,       99.91,       69.16,                   4.5, 12.9109767472339  ,  8.49708333623573,   15.2379979640766 , Rutland
E06000018,             4329.0,         69.48,                        6.9,       13974.0,             399.5,           ,           10230.0, 13.48973607038123 , 12.121212121212121,     4.924242424242424 , 49.48052          ,              96.7,      100.0 ,      100.0 ,                   0.6,  8.0019732222119  ,  6.97632502944282,    8.55953509430933, Nottingham
E06000019,               86.0,         58.32,                        2.6,       20986.0,             418.8,           ,            8435.0,  9.12863070539419 ,  7.824540604623592,     3.389830508474576 , 54.19664          ,              83.2,       99.62,       66.31,                   4.8, 15.6287165866167  ,  9.78099147532497,   21.4537711903469 , Herefordshire
E06000020,              627.0,         62.59,                        3.8,       16950.0,             427.9,           ,            5920.0, 18.49662162162162 ,  9.966216216216216,     3.731343283582089 , 50.27701          ,              85.3,       99.83,       83.34,                   1.6,  9.99155825385858 ,  7.70110926915474,   12.0462511824964 , Telford and Wrekin
E06000021,             2774.0,         62.62,                        4.7,       15015.0,             422.0,           ,            6935.0, 13.410237923576062, 10.814708002883922,     3.783783783783784 , 48.832679999999996,              93.1,      100.0 ,      100.0 ,                   1.7,  9.42076442374712 ,  7.50713925163575,   11.43732586445   , Stoke-on-Trent
E06000022,              550.0,         64.17,                        3.4,       23216.0,             460.0,           ,            8860.0,  9.875846501128668,  8.577878103837472,     5.434782608695652 , 61.13861          ,              77.5,       99.93,       94.14,                   3.6, 10.514685215873   ,  7.94379859493216,   12.4952956821406 , Bath and North East Somerset
E06000023,             4285.0,         69.17,                        3.9,       20442.0,             503.0,           ,           20465.0, 13.315416564866847, 10.163694111898364,     4.856512141280353 , 55.927659999999996,              94.0,      100.0 ,       99.99,                   2.2,  8.10513410928957 ,  6.88696172793839,    8.68497520130508, Bristol
E06000024,              577.0,         58.48,                        3.2,       22207.0,             471.5,           ,            9175.0, 10.517711171662125,  9.97275204359673 ,     2.840909090909091 , 54.41319          ,              87.6,       99.97,       97.61,                   2.7,  8.66714376078759 ,  7.00581211110145,    9.61264993692795, North Somerset
E06000025,              573.0,         62.89,                        2.6,       21664.0,             458.7,           ,           10875.0, 11.310344827586206,  9.701149425287356,     4.225352112676056 , 61.64154          ,              83.8,       99.98,       97.28,                   1.5,  9.50505515077786 ,  7.4831198485311 ,   10.864623659861  , South Gloucestershire
E06000026,             3319.0,         64.21,                        4.3,       17013.0,             427.0,           ,            6440.0, 12.888198757763975, 10.248447204968944,     4.45859872611465  , 56.25             ,              93.3,      100.0 ,       99.69,                   1.6,  9.0693671729829  ,  7.36715593254218,   10.195640751076  , Plymouth
E06000027,             2207.0,         57.28,                        3.8,       18125.0,             392.0,           ,            4425.0, 10.621468926553671, 11.638418079096045,     2.1739130434782608, 56.14035          ,              87.1,      100.0 ,       98.25,                   2.0,  9.06330182693127 ,  7.5000503738861 ,   10.6809879826575 , Torbay
E06000028,                   ,              ,                           ,              ,                  ,           ,                  ,                   ,                   ,                       ,                   ,                  ,            ,            ,                      ,  8.04481709919647 ,  6.86625438601462,    8.51842888112025, 
E06000029,                   ,              ,                           ,              ,                  ,           ,                  ,                   ,                   ,                       ,                   ,                  ,            ,            ,                      ,  8.64322356188235 ,  7.18877044026565,    9.44644733190821, 
E06000030,             1008.0,         64.63,                        3.5,       19445.0,             507.0,           ,            8240.0, 12.985436893203882, 10.800970873786406,     4.054054054054054 , 54.171859999999995,              94.2,      100.0 ,       99.52,                   1.7,  9.29864485048239 ,  7.62592776153643,   10.3037002754133 , Swindon
E06000031,              620.0,         63.49,                        5.1,       17201.0,             444.7,           ,            8145.0, 15.960712093308778, 10.620012277470842,     4.635761589403973 , 54.84765          ,              95.4,      100.0 ,       96.89,                   0.7,  9.93749888093179 ,  7.69652450116336,   11.1061458749604 , Peterborough
E06000032,             5146.0,         64.58,                        4.6,       16640.0,             464.5,           ,            8440.0, 16.70616113744076 , 11.78909952606635 ,     4.098360655737705 , 54.09091          ,              98.0,      100.0 ,      100.0 ,                   0.2,  8.21497740301761 ,  7.08107504800226,    8.67651517385318, Luton
E06000033,             4370.0,         61.86,                        3.9,       20945.0,             514.4,           ,            7955.0, 11.942174732872408, 10.81081081081081 ,     2.459016393442623 , 56.14035          ,              98.3,      100.0 ,      100.0 ,                   0.2,  8.1169363203792  ,  6.99867283032328,    8.90732861310106, Southend-on-Sea
E06000034,             1068.0,         63.64,                        4.6,       19610.0,             521.2,           ,            7690.0, 16.84005201560468 , 11.248374512353706,     3.8461538461538463, 56.19048000000001 ,              92.7,      100.0 ,      100.0 ,                   1.2,  9.58246821558292 ,  7.62916457947492,   11.6750964760719 , Thurrock
E06000035,             1445.0,         63.37,                        4.1,       19422.0,             521.4,           ,            9810.0, 14.831804281345565, 10.805300713557594,     3.896103896103896 ,                   ,              89.6,       99.81,       99.08,                   1.6, 10.1662264151932  ,  7.95446040983983,   11.7945022612622 , Medway
E06000036,             1112.0,         65.35,                        2.5,       23135.0,             566.9,           ,            5120.0, 11.81640625       ,  9.765625         ,     5.681818181818182 , 53.1401           ,              97.1,      100.0 ,       97.39,                   1.1,  9.24825818927583 ,  7.57720229721197,   11.3031985575796 , Bracknell Forest
E06000037,              228.0,         61.82,                        2.5,       26369.0,             555.8,           ,            9355.0, 10.31533939070016 ,  9.834313201496526,     4.41988950276243  , 59.86949          ,              85.9,       99.94,       78.46,                   1.6, 10.7722744737174  ,  8.03093202117219,   13.4690301287102 , West Berkshire
E06000038,             4315.0,         68.94,                        3.4,       22089.0,             525.5,           ,            7965.0, 13.622096672944132, 10.797237915881984,     6.41025641025641  , 60.15625          ,              95.7,      100.0 ,      100.0 ,                   0.4,  8.13036776838957 ,  7.0738635359948 ,    8.53576138580664, Reading
E06000039,             4844.0,         65.45,                        4.1,       18523.0,             524.5,           ,            7360.0, 15.557065217391305, 11.277173913043478,     3.875968992248062 , 46.72365          ,              96.6,      100.0 ,      100.0 ,                   0.5,  7.96327483286536 ,  7.03998354510069,    8.4967898588342 , Slough
