"school","sex","age","address","famsize","pstatus","medu","fedu","mjob","fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","dalc","walc","health","absences","final_grade"
"GP","F",18,"U","GT3","A","Higher","Higher","at_home","teacher","course","mother","15-30min","2-5hrs","0","yes","no","no","no","yes","yes","no","no","Good","Average","High","VeryLow","VeryLow","Average",4,11
"GP","F",17,"U","GT3","T","Primary","Primary","at_home","other","course","father","<15min","2-5hrs","0","no","yes","no","no","no","yes","yes","no","Excellent","Average","Average","VeryLow","VeryLow","Average",2,11
"GP","F",15,"U","LE3","T","Primary","Primary","at_home","other","other","mother","<15min","2-5hrs","0","yes","no","no","no","yes","yes","yes","no","Good","Average","Low","Low","Average","Average",6,12
"GP","F",15,"U","GT3","T","Higher","5th-9th","health","services","home","mother","<15min","5-10hrs","0","no","yes","no","yes","yes","yes","yes","yes","Average","Low","Low","VeryLow","VeryLow","VeryGood",0,14
"GP","F",16,"U","GT3","T","Secondary","Secondary","other","other","home","father","<15min","2-5hrs","0","no","yes","no","no","yes","yes","no","no","Good","Average","Low","VeryLow","Low","VeryGood",0,13
"GP","M",16,"U","LE3","T","Higher","Secondary","services","other","reputation","mother","<15min","2-5hrs","0","no","yes","no","yes","yes","yes","yes","no","Excellent","High","Low","VeryLow","Low","VeryGood",6,13
"GP","M",16,"U","LE3","T","5th-9th","5th-9th","other","other","home","mother","<15min","2-5hrs","0","no","no","no","no","yes","yes","yes","no","Good","High","High","VeryLow","VeryLow","Average",0,13
"GP","F",17,"U","GT3","A","Higher","Higher","other","teacher","home","mother","15-30min","2-5hrs","0","yes","yes","no","no","yes","yes","no","no","Good","VeryLow","High","VeryLow","VeryLow","VeryBad",2,13
"GP","M",15,"U","LE3","A","Secondary","5th-9th","services","other","home","mother","<15min","2-5hrs","0","no","yes","no","no","yes","yes","yes","no","Good","Low","Low","VeryLow","VeryLow","VeryBad",0,17
"GP","M",15,"U","GT3","T","Secondary","Higher","other","other","home","mother","<15min","2-5hrs","0","no","yes","no","yes","yes","yes","yes","no","Excellent","VeryHigh","VeryLow","VeryLow","VeryLow","VeryGood",0,13
"GP","F",15,"U","GT3","T","Higher","Higher","teacher","health","reputation","mother","<15min","2-5hrs","0","no","yes","no","no","yes","yes","yes","no","Average","Average","Average","VeryLow","Low","Bad",2,14
"GP","F",15,"U","GT3","T","5th-9th","Primary","services","other","reputation","father","30min-1hr","5-10hrs","0","no","yes","no","yes","yes","yes","yes","no","Excellent","Low","Low","VeryLow","VeryLow","Good",0,13
"GP","M",15,"U","LE3","T","Higher","Higher","health","services","course","father","<15min","<2hrs","0","no","yes","no","yes","yes","yes","yes","no","Good","Average","Average","VeryLow","Average","VeryGood",0,12
"GP","M",15,"U","GT3","T","Higher","Secondary","teacher","other","course","mother","15-30min","2-5hrs","0","no","yes","no","no","yes","yes","yes","no","Excellent","High","Average","VeryLow","Low","Average",0,13
"GP","M",15,"U","GT3","A","5th-9th","5th-9th","other","other","home","other","<15min","5-10hrs","0","no","yes","no","no","yes","yes","yes","yes","Good","VeryHigh","Low","VeryLow","VeryLow","Average",0,15
"GP","F",16,"U","GT3","T","Higher","Higher","health","other","home","mother","<15min","<2hrs","0","no","yes","no","no","yes","yes","yes","no","Good","High","High","VeryLow","Low","Bad",6,17
"GP","F",16,"U","GT3","T","Higher","Higher","services","services","reputation","mother","<15min","5-10hrs","0","no","yes","no","yes","yes","yes","yes","no","Average","Low","Average","VeryLow","Low","Bad",10,14
"GP","F",16,"U","GT3","T","Secondary","Secondary","other","other","reputation","mother","30min-1hr","2-5hrs","0","yes","yes","no","yes","yes","yes","no","no","Excellent","Average","Low","VeryLow","VeryLow","Good",2,14
