science_decreases_jobs,trust_neighbours,trust_government,trust_scientists,trust_journalists,trust_doctors,trust_ngos,trust_trad_healers,age,gender,education,hh_income,subj_income,emp_status
TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,80,Female,Secondary (8-15 years),Richest 20%,Getting by on present income,Out of workforce
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,23,Male,Tertiary,Fourth 20%,Living comfortable on present income,Employed full time for an employer
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,29,Male,Tertiary,Fourth 20%,Living comfortable on present income,Employed full time for an employer
TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,60,Female,Tertiary,Fourth 20%,Getting by on present income,Employed full time for an employer
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,41,Male,Secondary (8-15 years),Second 20%,Finding it very difficult on present income,Out of workforce
FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,68,Female,Secondary (8-15 years),Fourth 20%,Living comfortable on present income,Employed full time for an employer
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,76,Female,Secondary (8-15 years),Poorest 20%,Living comfortable on present income,Out of workforce
FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,71,Male,Secondary (8-15 years),Fourth 20%,Living comfortable on present income,Out of workforce
TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,71,Female,Tertiary,Richest 20%,Living comfortable on present income,Out of workforce
FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,36,Male,Secondary (8-15 years),Middle 20%,Getting by on present income,Employed full time for an employer
TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,78,Male,Secondary (8-15 years),Second 20%,Finding it very difficult on present income,Out of workforce
TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,55,Male,Tertiary,Richest 20%,Getting by on present income,Employed full time for an employer
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,64,Male,Tertiary,Fourth 20%,Living comfortable on present income,Employed full time for self
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,69,Male,Secondary (8-15 years),Fourth 20%,Getting by on present income,Out of workforce
TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,63,Female,Tertiary,Second 20%,Finding it very difficult on present income,Out of workforce
FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,40,Male,Tertiary,Fourth 20%,Living comfortable on present income,Employed full time for self
TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,50,Male,Secondary (8-15 years),Fourth 20%,Getting by on present income,Employed full time for self
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,54,Female,Tertiary,Middle 20%,Getting by on present income,Employed full time for an employer
TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,48,Male,Secondary (8-15 years),Poorest 20%,Getting by on present income,Employed full time for an employer
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,63,Male,Secondary (8-15 years),Poorest 20%,Finding it difficult on present income,Out of workforce
FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,28,Male,Tertiary,Middle 20%,Living comfortable on present income,Employed full time for an employer
