institution,date,yield_series,yield_pct,yield_change_5y_bp
BoE,2019-02-07,UK 5Y nominal par yield (IUDSNPY),0.8403,-3.42
BoE,2019-03-21,UK 5Y nominal par yield (IUDSNPY),0.7716,-6.8
BoE,2019-05-02,UK 5Y nominal par yield (IUDSNPY),0.8667,2.84
BoE,2019-06-20,UK 5Y nominal par yield (IUDSNPY),0.5478,-5.95
BoE,2019-08-01,UK 5Y nominal par yield (IUDSNPY),0.3277,-5.52
BoE,2019-09-19,UK 5Y nominal par yield (IUDSNPY),0.4316,-3.19
BoE,2019-11-07,UK 5Y nominal par yield (IUDSNPY),0.494,-0.3
BoE,2019-12-19,UK 5Y nominal par yield (IUDSNPY),0.5903,4.57
BoE,2020-01-30,UK 5Y nominal par yield (IUDSNPY),0.401,3.39
BoE,2020-03-11,UK 5Y nominal par yield (IUDSNPY),0.1624,5.75
BoE,2020-03-19,UK 5Y nominal par yield (IUDSNPY),0.4838,-3.49
BoE,2020-05-07,UK 5Y nominal par yield (IUDSNPY),0.1059,5.12
BoE,2020-06-18,UK 5Y nominal par yield (IUDSNPY),0.0053,1.13
BoE,2020-08-06,UK 5Y nominal par yield (IUDSNPY),-0.0874,1.7
BoE,2020-09-17,UK 5Y nominal par yield (IUDSNPY),-0.1065,-7.49
BoE,2020-11-05,UK 5Y nominal par yield (IUDSNPY),-0.0339,1.63
BoE,2021-02-04,UK 5Y nominal par yield (IUDSNPY),0.112,5.08
BoE,2021-03-18,UK 5Y nominal par yield (IUDSNPY),0.4076,1.33
BoE,2021-05-06,UK 5Y nominal par yield (IUDSNPY),0.3314,-3.48
BoE,2021-06-24,UK 5Y nominal par yield (IUDSNPY),0.3734,-3.48
BoE,2021-08-05,UK 5Y nominal par yield (IUDSNPY),0.2568,-0.47
BoE,2021-09-23,UK 5Y nominal par yield (IUDSNPY),0.5474,10.93
BoE,2021-11-04,UK 5Y nominal par yield (IUDSNPY),0.6328,-17.14
BoE,2021-12-16,UK 5Y nominal par yield (IUDSNPY),0.552,3.24
BoE,2022-02-03,UK 5Y nominal par yield (IUDSNPY),1.2064,12.57
BoE,2022-03-17,UK 5Y nominal par yield (IUDSNPY),1.3505,-4.91
BoE,2022-05-05,UK 5Y nominal par yield (IUDSNPY),1.6976,-6.97
BoE,2022-06-16,UK 5Y nominal par yield (IUDSNPY),2.2216,12.19
BoE,2022-08-04,UK 5Y nominal par yield (IUDSNPY),1.711,-2.11
BoE,2022-09-22,UK 5Y nominal par yield (IUDSNPY),3.4889,18.53
BoE,2022-11-03,UK 5Y nominal par yield (IUDSNPY),3.32,2.71
BoE,2022-12-15,UK 5Y nominal par yield (IUDSNPY),3.2039,-6.6
BoE,2023-02-02,UK 5Y nominal par yield (IUDSNPY),2.8648,-34.39
BoE,2023-03-23,UK 5Y nominal par yield (IUDSNPY),3.2515,-17.86
BoE,2023-05-11,UK 5Y nominal par yield (IUDSNPY),3.6219,-8.53
BoE,2023-06-22,UK 5Y nominal par yield (IUDSNPY),4.6257,-1.28
BoE,2023-08-03,UK 5Y nominal par yield (IUDSNPY),4.559,1.41
BoE,2023-09-21,UK 5Y nominal par yield (IUDSNPY),4.2304,2.98
BoE,2023-11-02,UK 5Y nominal par yield (IUDSNPY),4.2344,-9.43
BoE,2023-12-14,UK 5Y nominal par yield (IUDSNPY),3.6934,-6.98
BoE,2024-02-01,UK 5Y nominal par yield (IUDSNPY),3.5893,-5.34
BoE,2024-03-21,UK 5Y nominal par yield (IUDSNPY),3.8472,-9.18
BoE,2024-05-09,UK 5Y nominal par yield (IUDSNPY),4.0081,-1.44
BoE,2024-06-20,UK 5Y nominal par yield (IUDSNPY),3.9249,-3.65
BoE,2024-08-01,UK 5Y nominal par yield (IUDSNPY),3.6694,-11.63
BoE,2024-09-19,UK 5Y nominal par yield (IUDSNPY),3.6306,2.77
BoE,2024-11-07,UK 5Y nominal par yield (IUDSNPY),4.1974,-7.39
BoE,2024-12-19,UK 5Y nominal par yield (IUDSNPY),4.2224,1.12
ECB,2019-01-24,Euro area AAA 5Y spot (ECB YC),-0.3289026105442771,-3.04
ECB,2019-03-07,Euro area AAA 5Y spot (ECB YC),-0.3603490896036248,-4.59
ECB,2019-04-10,Euro area AAA 5Y spot (ECB YC),-0.435278886484757,-3.0
ECB,2019-06-06,Euro area AAA 5Y spot (ECB YC),-0.5583799634847639,2.05
ECB,2019-07-25,Euro area AAA 5Y spot (ECB YC),-0.6715798529443386,4.43
ECB,2019-09-12,Euro area AAA 5Y spot (ECB YC),-0.7865266045518613,3.5
ECB,2019-10-24,Euro area AAA 5Y spot (ECB YC),-0.6224441532888223,-0.18
ECB,2019-12-12,Euro area AAA 5Y spot (ECB YC),-0.5456789112694778,1.23
ECB,2020-01-23,Euro area AAA 5Y spot (ECB YC),-0.5422445718751296,-2.7
ECB,2020-03-12,Euro area AAA 5Y spot (ECB YC),-0.9138847374252476,-1.31
ECB,2020-04-30,Euro area AAA 5Y spot (ECB YC),-0.721052442949059,-6.06
ECB,2020-06-04,Euro area AAA 5Y spot (ECB YC),-0.5433629075095339,1.9
ECB,2020-07-16,Euro area AAA 5Y spot (ECB YC),-0.6663943624497142,-1.35
ECB,2020-09-10,Euro area AAA 5Y spot (ECB YC),-0.6540883210720687,2.61
ECB,2020-10-29,Euro area AAA 5Y spot (ECB YC),-0.8139164228812104,-1.12
ECB,2020-12-10,Euro area AAA 5Y spot (ECB YC),-0.7832784064387552,0.17
ECB,2021-01-21,Euro area AAA 5Y spot (ECB YC),-0.7045704734135394,2.33
ECB,2021-03-11,Euro area AAA 5Y spot (ECB YC),-0.629978393759997,-2.23
ECB,2021-04-22,Euro area AAA 5Y spot (ECB YC),-0.6039873556599109,0.6
ECB,2021-06-10,Euro area AAA 5Y spot (ECB YC),-0.5921490667725866,1.03
ECB,2021-07-22,Euro area AAA 5Y spot (ECB YC),-0.7034814786710486,-0.65
ECB,2021-09-09,Euro area AAA 5Y spot (ECB YC),-0.6549237566051143,-2.22
ECB,2021-10-28,Euro area AAA 5Y spot (ECB YC),-0.4420405133852481,3.92
ECB,2021-12-16,Euro area AAA 5Y spot (ECB YC),-0.5949178163552657,-0.36
ECB,2022-02-03,Euro area AAA 5Y spot (ECB YC),-0.0964408452879399,12.78
ECB,2022-03-10,Euro area AAA 5Y spot (ECB YC),-0.0070487490689501,10.68
ECB,2022-04-14,Euro area AAA 5Y spot (ECB YC),0.6134213676610423,1.54
ECB,2022-06-09,Euro area AAA 5Y spot (ECB YC),1.2983480696289658,8.6
ECB,2022-07-21,Euro area AAA 5Y spot (ECB YC),1.020535547489442,5.08
ECB,2022-09-08,Euro area AAA 5Y spot (ECB YC),1.401309183945776,6.52
ECB,2022-10-27,Euro area AAA 5Y spot (ECB YC),1.8882056674287493,-11.0
ECB,2022-12-15,Euro area AAA 5Y spot (ECB YC),1.9785692081477069,4.8
ECB,2023-02-02,Euro area AAA 5Y spot (ECB YC),2.199795810572021,-11.23
ECB,2023-03-16,Euro area AAA 5Y spot (ECB YC),2.2479938379552378,2.57
ECB,2023-05-04,Euro area AAA 5Y spot (ECB YC),2.256379797801447,0.77
ECB,2023-06-15,Euro area AAA 5Y spot (ECB YC),2.5353623035,2.36
ECB,2023-07-27,Euro area AAA 5Y spot (ECB YC),2.5150125845,-6.21
ECB,2023-09-14,Euro area AAA 5Y spot (ECB YC),2.6346336884,-2.15
ECB,2023-10-26,Euro area AAA 5Y spot (ECB YC),2.7482862269,-2.95
ECB,2023-12-14,Euro area AAA 5Y spot (ECB YC),2.0656181927,-8.34
ECB,2024-01-25,Euro area AAA 5Y spot (ECB YC),2.170110325,-3.73
ECB,2024-03-07,Euro area AAA 5Y spot (ECB YC),2.3165152279,-0.76
ECB,2024-04-11,Euro area AAA 5Y spot (ECB YC),2.4322183861,2.46
ECB,2024-06-06,Euro area AAA 5Y spot (ECB YC),2.5819989948,5.87
ECB,2024-07-18,Euro area AAA 5Y spot (ECB YC),2.3436235462,-2.64
ECB,2024-09-12,Euro area AAA 5Y spot (ECB YC),1.9679030803,2.65
ECB,2024-10-17,Euro area AAA 5Y spot (ECB YC),2.0183156063,0.91
ECB,2024-12-12,Euro area AAA 5Y spot (ECB YC),1.9831296945,8.11
Fed,2019-01-30,US 5Y Treasury (DGS5),2.49,-6.0
Fed,2019-03-20,US 5Y Treasury (DGS5),2.34,-8.0
Fed,2019-05-01,US 5Y Treasury (DGS5),2.31,3.0
Fed,2019-06-19,US 5Y Treasury (DGS5),1.77,-6.0
Fed,2019-07-31,US 5Y Treasury (DGS5),1.84,0.0
Fed,2019-09-18,US 5Y Treasury (DGS5),1.68,2.0
Fed,2019-10-30,US 5Y Treasury (DGS5),1.61,-5.0
Fed,2019-12-11,US 5Y Treasury (DGS5),1.64,-4.0
Fed,2020-01-29,US 5Y Treasury (DGS5),1.41,-6.0
Fed,2020-03-15,US 5Y Treasury (DGS5),0.49,-21.0
Fed,2020-04-29,US 5Y Treasury (DGS5),0.36,-1.0
Fed,2020-06-10,US 5Y Treasury (DGS5),0.33,-7.0
Fed,2020-07-29,US 5Y Treasury (DGS5),0.25,-1.0
Fed,2020-09-16,US 5Y Treasury (DGS5),0.28,1.0
Fed,2020-11-05,US 5Y Treasury (DGS5),0.33,0.0
Fed,2020-12-16,US 5Y Treasury (DGS5),0.37,0.0
Fed,2021-01-27,US 5Y Treasury (DGS5),0.41,-1.0
Fed,2021-03-17,US 5Y Treasury (DGS5),0.8,-3.0
Fed,2021-04-28,US 5Y Treasury (DGS5),0.86,-2.0
Fed,2021-06-16,US 5Y Treasury (DGS5),0.89,10.0
Fed,2021-07-28,US 5Y Treasury (DGS5),0.72,1.0
Fed,2021-09-22,US 5Y Treasury (DGS5),0.86,2.0
Fed,2021-11-03,US 5Y Treasury (DGS5),1.19,4.0
Fed,2021-12-15,US 5Y Treasury (DGS5),1.26,3.0
Fed,2022-01-26,US 5Y Treasury (DGS5),1.66,10.0
Fed,2022-03-16,US 5Y Treasury (DGS5),2.18,8.0
Fed,2022-05-04,US 5Y Treasury (DGS5),2.93,-8.0
Fed,2022-06-15,US 5Y Treasury (DGS5),3.38,-23.0
Fed,2022-07-27,US 5Y Treasury (DGS5),2.82,-7.0
Fed,2022-09-21,US 5Y Treasury (DGS5),3.74,-1.0
Fed,2022-11-02,US 5Y Treasury (DGS5),4.3,3.0
Fed,2022-12-14,US 5Y Treasury (DGS5),3.64,-2.0
Fed,2023-02-01,US 5Y Treasury (DGS5),3.48,-15.0
Fed,2023-03-22,US 5Y Treasury (DGS5),3.54,-19.0
Fed,2023-05-03,US 5Y Treasury (DGS5),3.37,-9.0
Fed,2023-06-14,US 5Y Treasury (DGS5),4.06,5.0
Fed,2023-07-26,US 5Y Treasury (DGS5),4.09,-6.0
Fed,2023-09-20,US 5Y Treasury (DGS5),4.52,1.0
Fed,2023-11-01,US 5Y Treasury (DGS5),4.67,-15.0
Fed,2023-12-13,US 5Y Treasury (DGS5),4.0,-23.0
Fed,2024-01-31,US 5Y Treasury (DGS5),3.91,-9.0
Fed,2024-03-20,US 5Y Treasury (DGS5),4.25,-6.0
Fed,2024-05-01,US 5Y Treasury (DGS5),4.64,-8.0
Fed,2024-06-12,US 5Y Treasury (DGS5),4.32,-9.0
Fed,2024-07-31,US 5Y Treasury (DGS5),3.97,-6.0
Fed,2024-09-18,US 5Y Treasury (DGS5),3.47,3.0
Fed,2024-11-07,US 5Y Treasury (DGS5),4.17,-10.0
Fed,2024-12-18,US 5Y Treasury (DGS5),4.4,14.0
